Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
"AARS1_Alanine--tRNA ligase, cytoplasmic",151.9805,113.4514,101.2513,90.8614,115.6295,120.3076,120.4606,149.8326,108.7444,119.1688,20.298,0.3317,0.1075,63.8022,146.1882,140.191,105.5664,141.7336,34.4557,128.5762,82.556,124.9975,115.305,125.6108,152.9994,118.0295,105.5844,88.7667,29.1616,120.3223,90.511,106.3532,35.8506,0.0157,216.8693,152.7999,156.5353,119.267,202.2666,198.9667,189.462,96.7433,41.3404,139.0187,137.8849,197.2783,170.1351,99.5769,44.2284,238.9619,198.983,132.086,151.8002,56.3658
"AARS2_Alanine--tRNA ligase, mitochondrial",4.1237,4.1382,2.3518,2.3452,3.2739,3.0206,4.1091,4.6303,3.0451,3.4487,0.8337,0.0117,0.004,3.447,4.3462,5.4893,3.06,4.752,4.6245,5.5355,3.6329,3.7958,3.9423,5.4141,6.0366,3.4237,4.5688,5.8472,4.2817,3.3958,4.3023,4.4386,0.9174,0.076,6.0996,4.3614,7.2346,4.5732,7.508,7.1266,4.624,1.8837,3.4473,3.6998,4.4959,5.4561,5.1999,3.9351,5.503,5.6303,6.1139,4.8079,5.0945,1.4341
AARSD1_Alanyl-tRNA editing protein Aarsd1,1.7041,1.0056,0.0842,0,0.8446,0.2949,1.3717,0.4512,0,0.6396,0.6251,0.4707,0.7809,0,0.1666,0.1839,0.3717,0.4348,0.2515,1.0492,1.3367,0.9082,0,0,0.0792,0.0616,0.6268,0.7648,0.485,0.7388,1.3086,0.4871,0.4456,0.2879,0,0.2123,0.2992,0.5293,0.7391,0.2753,0.734,0.7163,1.1127,0.1567,0.1366,0.2236,0.1953,0.3099,1.2779,0.8444,0.4085,2.1745,0.5748,0.5341
AASDHPPT_L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,21.8669,29.1346,15.9184,11.3548,23.3436,13.4336,23.9081,15.7945,10.1533,18.3231,6.4926,0.1155,0.1885,11.4798,13.2743,15.0321,8.7423,14.1017,7.4638,13.7202,21.8901,31.7469,11.8426,15.3648,13.2797,10.5606,10.5366,17.7276,11.511,13.818,17.6808,14.4318,5.5135,0.6818,17.563,7.1273,12.9662,8.2399,24.6164,10.2089,17.9111,27.8433,14.6681,12.971,12.012,16.4013,17.1157,9.7019,11.9867,21.9295,15.8386,12.5938,15.0942,5.5218
"AASS_Alpha-aminoadipic semialdehyde synthase, mitochondrial",7.5733,9.6341,4.2924,4.3489,7.8229,7.0745,10.1589,8.5115,7.1057,7.3914,2.0373,0.1354,0.071,8.942,15.5458,31.9831,10.805,9.9282,4.7969,16.1273,4.063,7.591,16.6743,34.8921,12.3563,5.8572,4.4525,7.634,7.3453,8.4927,7.9836,11.9706,8.7049,0.6878,13.7625,10.1818,31.1109,11.599,6.7503,10.7642,14.4851,5.3879,5.5549,12.6991,20.5692,10.8662,7.4181,6.1004,5.0339,13.2657,12.9216,8.6488,11.5066,6.3299
ABCA5_Cholesterol transporter ABCA5,4.7928,3.9519,6.8849,6.1927,2.9776,7.5804,5.5252,6.1222,6.4671,5.6105,1.4662,0.0067,0.0155,8.7244,9.3436,6.0412,5.0295,7.0173,12.69,15.3271,6.303,3.8753,11.933,9.6012,12.442,10.1249,9.2534,12.0019,10.6736,6.1936,4.7424,8.9621,3.2154,0.7756,12.2433,6.9346,7.8526,5.3632,9.3999,15.7863,10.6102,1.7331,4.5298,13.7301,8.1624,5.9536,17.2224,6.7462,10.8493,11.7443,9.3479,7.3512,9.1978,3.9783
ABCA6_ATP-binding cassette sub-family A member 6,0,1.2263,0.9757,0,1.3473,1.0044,1.2222,0.586,0.5908,0.7725,0.5117,0.1592,0.0286,0.4658,1.3077,1.3846,0.9923,1.3396,0.8865,1.7975,0.3511,0.4288,1.5444,0,1.7262,1.3794,1.0037,1.8987,1.3308,1.1554,0.5863,1.0877,0.5413,0.0212,1.745,1.9038,1.268,1.0676,2.0423,0.7872,2.006,0.877,0.8377,1.0551,0,2.0548,1.5646,0.9153,2.0826,1.8286,1.3624,0.4746,1.3263,0.6148
ABCA8_ABC-type organic anion transporter ABCA8,40.0579,42.9645,22.7877,14.4471,37.6503,29.2478,19.613,23.0466,25.9064,28.4135,9.8272,0.1673,0.8977,16.9682,9.7009,39.0859,18.0811,31.1295,13.6226,32.4684,19.8129,24.7458,32.5948,18.1688,27.6624,26.7295,11.6923,35.8055,20.6686,19.8676,19.2177,23.2235,8.4875,0.0803,48.3947,20.9954,25.1833,26.5106,37.6898,31.7234,28.7357,23.438,22.4686,32.0976,19.365,40.1957,27.4722,8.6309,29.5462,38.6126,24.267,17.0199,27.9081,9.3926
ABCA9_ATP-binding cassette sub-family A member 9,1.0062,2.2835,1.1366,1.7486,1.9421,1.8633,1.0047,0,1.2385,1.3582,0.6857,0.9456,0.0155,0.7304,0,2.3207,1.0935,1.1638,0.64,2.2022,1.2233,1.1904,1.6922,1.2898,1.834,1.0176,1.5382,2.1026,0.9984,0.8235,2.2574,1.3399,0.6329,0.0048,3.6341,1.6968,2.282,1.7821,2.7773,1.5233,1.9298,1.9174,2.0374,2.1546,1.6122,2.4802,1.8997,1.1707,2.4011,1.9995,1.801,1.1396,2.0133,0.5828
"ABCB10_ATP-binding cassette sub-family B member 10, mitochondrial",4.4421,5.5515,2.2967,1.4053,0,3.3059,3.6791,3.4104,1.275,2.8185,1.7331,0.78,0.1315,1.9233,4.2689,2.281,2.8909,2.6864,1.8878,6.0473,2.0675,3.801,3.5453,4.2221,3.4553,1.859,2.4294,4.6329,2.6116,3.1978,0,2.9893,1.3484,0.0927,3.5637,3.3902,4.6186,3.4851,2.9223,4.3891,5.8698,0,2.4048,3.8777,3.002,2.5644,4.4177,4.9438,3.2847,4.7833,6.0998,4.5244,3.7856,1.4076
"ABCB6;GN=_ATP-binding cassette sub-family B member 6;Isoform of Q9NP58, Isoform 2 of ATP-binding cassette sub-family B member 6",4.328,2.8609,2.2095,4.0502,6.2312,1.8302,5.4821,3.904,4.1659,3.8958,1.4333,0.0502,0.8405,2.7799,3.3091,4.2007,2.9924,2.1646,2.0824,4.5852,2.6573,1.6873,3.9088,4.1892,1.9665,1.9838,1.7775,2.9258,4.089,1.1343,3.8195,2.903,1.0429,0.08,6.5328,2.4919,4.5921,4.5428,1.7101,4.6407,3.3077,2.5242,2.6398,4.0586,0.8958,1.6158,5.028,4.5474,2.5698,4.2095,5.0086,6.84,3.7642,1.6512
"ABCB7;GN=_Iron-sulfur clusters transporter ABCB7, mitochondrial;Isoform of O75027, Isoform 2 of Iron-sulfur clusters transporter ABCB7, mitochondrial",4.5718,6.4731,3.6745,2.8319,5.5599,6.6068,8.2708,8.5646,3.6426,5.5773,2.0601,0.1455,0.0005,5.8971,15.7258,7.7201,8.6522,5.948,4.4143,23.8375,3.2866,5.7267,8.7166,17.629,11.4681,3.7187,3.2367,11.7991,4.6154,4.81,6.1362,8.5188,5.6405,0.0933,17.049,8.4067,18.7548,11.8528,9.5549,14.3542,17.0381,5.7494,5.4749,12.0385,11.0107,7.411,8.6635,11.0169,7.7429,12.1487,13.9899,8.3938,11.1473,3.9015
"ABCB8;GN=;GN=;GN=_Mitochondrial potassium channel ATP-binding subunit;Isoform of Q9NUT2, Isoform 2 of Mitochondrial potassium channel ATP-binding subunit;Isoform of Q9NUT2, Isoform 4 of Mitochondrial potassium channel ATP-binding subunit;Isoform of Q9NUT2, Isoform 5 of Mitochondrial potassium channel ATP-binding subunit",3.9993,2.8504,2.9194,1.9297,1.7631,3.9345,2.8651,2.9404,2.4099,2.8458,0.7691,0.007,0.0011,3.8729,6.0619,4.5806,3.4429,4.3488,3.0525,7.3818,2.5891,3.1594,5.7036,7.4426,5.4625,2.8529,3.8309,5.5969,4.3322,3.1307,3.0123,4.4364,1.5199,0.3759,5.6117,4.4465,6.2938,4.524,4.9845,4.7182,6.3697,1.1286,2.5332,5.7448,5.5708,3.1498,5.395,4.3778,4.3551,7.3372,5.9871,3.8892,4.801,1.4917
"ABCC1;GN=_Multidrug resistance-associated protein 1;Isoform of P33527, Isoform 9 of Multidrug resistance-associated protein 1",8.011,6.604,6.1716,5.1272,4.6384,5.9648,4.7016,6.6912,6.1703,6.0089,1.0751,0.2577,0.0519,5.7535,6.521,7.2848,4.5032,6.1969,8.0772,11.6993,5.4796,4.4504,6.3981,8.278,14.7533,5.4487,4.5941,9.0147,10.549,5.3684,4.3692,7.1522,2.838,0.3283,11.4974,6.1379,9.537,5.1715,7.8149,12.3561,9.6566,4.2298,5.0162,5.9672,7.3319,7.7371,8.9083,4.3879,8.1677,11.982,9.0848,5.956,7.83,2.5457
ABCC4_ATP-binding cassette sub-family C member 4,2.0492,1.7362,1.5272,1.5987,2.1745,2.2521,2.3038,2.4815,1.9183,2.0046,0.3319,0.0368,0.0024,2.5156,2.7209,3.5877,2.8473,2.4489,1.6997,3.1079,1.8499,1.7243,2.895,3.1647,3.4498,2.1928,1.5542,5.0425,3.6873,1.2925,3.1153,2.7165,0.9314,0.0286,4.0281,4.9525,5.1548,1.6929,4.9331,2.8601,2.3101,0.877,2.6982,3.5964,2.6219,2.2355,4.5446,3.8999,4.6185,4.463,2.6719,3.7788,3.441,1.2439
ABCC9_ATP-binding cassette sub-family C member 9,5.5232,7.8634,4.6249,3.0324,8.2313,6.839,5.6059,7.9672,2.4011,5.7876,2.1404,0.4483,0.0696,4.9549,0,5.9391,7.1306,4.7783,5.9905,21.7451,0,19.3866,7.3527,7.5775,11.1658,3.9318,4.8062,13.9621,9.2686,5.1032,0,7.394,6.0175,0.2448,14.6892,4.3483,9.7322,6.6684,19.0996,12.641,17.9317,12.9605,6.2759,5.7184,0,7.3702,8.1338,12.2225,5.8655,17.7267,10.1115,0,9.5275,5.6718
ABCD3_ATP-binding cassette sub-family D member 3,3.1361,3.5597,1.2117,1.0811,0,0,3.9359,0,1.2045,1.5699,1.5774,0.3389,0.0721,2.2394,1.701,1.9379,1.5496,1.8373,2.1795,3.5683,3.7814,3.2734,2.0972,0,0,2.1592,2.0184,3.0772,1.7624,1.9224,1.8459,2.0528,0.997,0.2174,3.5629,1.8951,2.5422,1.8738,3.2496,3.1848,2.6824,0,2.9599,2.3904,1.7853,1.6553,2.1887,1.8012,2.6522,3.7899,2.6535,3.3944,2.459,0.8983
ABCD4_Lysosomal cobalamin transporter ABCD4,1.0622,0,0,0,0,0,0,0,0.3211,0.1537,0.3568,0.0647,0.0119,0.8172,0,0,0.448,0,0,0,0,1.1782,1.1737,0.9706,1.2039,0,0.5962,1.4248,0,0.9106,1.0097,0.5407,0.5422,0.5805,1.1013,0.8854,0.7278,0.6097,0,0,0,0,0.6272,0.9563,0.4612,0.8776,1.0977,0.8083,0.6146,1.3754,1.1097,0,0.6251,0.4547
ABCE1_ATP-binding cassette sub-family E member 1,8.3866,8.8799,8.026,4.8181,6.5384,11.2123,9.8298,8.6339,6.272,8.0663,1.9429,0.1252,0.1731,6.0192,7.532,5.7999,6.411,6.8057,6.1711,7.6043,7.717,7.2795,7.9863,7.815,8.6216,7.3551,4.4875,10.6623,6.142,7.126,5.0945,7.035,1.3973,0.003,11.6546,7.0896,9.2154,7.7378,18.7942,9.3278,10.3377,10.7454,5.2659,8.4328,7.6036,10.7691,10.3704,4.2792,11.6413,14.462,9.0597,8.5616,9.7416,3.2883
ABCF1_ATP-binding cassette sub-family F member 1,19.4039,11.3399,15.9588,12.7286,7.9959,13.6645,14.1366,15.6245,12.6301,13.7203,3.1961,0.0297,0.0032,17.2996,18.6514,13.0383,19.7481,14.1115,24.6355,37.9892,17.185,9.2961,18.8559,19.6032,21.8922,16.4623,18.4757,41.9324,25.681,19.0479,12.1479,20.3363,8.2378,0.6612,25.7216,18.5022,25.5277,11.3245,25.7884,26.2773,24.475,9.8974,17.7123,19.5827,18.0683,15.3313,23.7134,16.8251,36.6101,26.2984,18.8198,19.4741,21.1083,6.3511
"ABCF2;GN=_ATP-binding cassette sub-family F member 2;Isoform of Q9UG63, Isoform 2 of ATP-binding cassette sub-family F member 2",2.7107,3.5116,2.7612,3.1929,1.4793,3.3105,2.4397,2.2465,1.9734,2.6251,0.6632,0.73,0.2695,2.1639,2.8828,1.9196,2.0208,3.4735,2.6932,3.9099,2.7199,1.4204,2.78,3.2006,2.7258,2.3147,2.1538,4.3818,3.2123,3.8163,1.4602,2.7361,0.8277,0.1719,4.4678,2.2878,3.2901,1.6789,4.6305,1.3912,3.5198,1.8014,1.8079,3.0386,2.8868,2.8053,3.7093,2.503,3.6711,5.6654,4.0711,2.4863,3.0951,1.1497
ABCF3_ATP-binding cassette sub-family F member 3,18.3691,13.9223,14.1384,11.9366,12.4242,15.5344,16.2198,19.427,13.8486,15.0911,2.547,0.0826,0.0471,14.1558,17.4668,17.1246,15.8791,13.667,19.6318,28.4682,13.7705,15.4526,15.9789,20.7791,22.397,18.5264,14.7537,19.4738,18.8413,17.2403,13.4061,17.6118,3.7537,0.4296,20.04,16.5968,21.3802,15.607,21.5191,24.0758,23.074,9.5945,12.4187,14.0564,19.4141,17.4333,20.625,11.7722,22.0547,23.3791,21.4198,16.4194,18.3822,4.3428
"ABHD10_Palmitoyl-protein thioesterase ABHD10, mitochondrial",3.1484,3.9157,3.1211,3.098,4.2361,4.9453,3.417,5.1666,3.0939,3.7936,0.8221,0.7993,0.1379,2.9651,4.088,5.149,3.4756,3.5479,2.5024,6.5187,2.4019,5.0641,3.7614,4.7482,4.5424,3.9336,3.4049,4.2467,2.7492,3.9623,3.0775,3.8966,1.049,0.0674,5.3382,2.8716,5.3544,4.2366,4.6647,5.2757,8.397,3.7803,2.5112,3.687,3.6628,6.5899,4.9739,3.3811,3.1681,6.3493,5.3582,3.5592,4.62,1.4991
ABHD11_Protein ABHD11,3.5825,2.9222,4.1457,6.9005,2.5338,6.4046,2.3842,6.6146,5.5006,4.5543,1.8247,0.4078,0.8861,3.4493,5.5541,5.4729,3.8961,2.2155,2.375,8.2844,1.6423,2.9067,4.0827,7.1983,5.9373,2.4814,3.121,4.1711,2.4272,2.5524,2.7644,3.9184,1.8615,0.4517,4.3692,2.631,6.6882,5.3018,3.039,4.2148,5.0643,19.7206,2.8059,3.0937,4.8833,3.8008,2.5882,2.0785,3.7188,2.6274,4.7415,4.2195,4.7548,3.92
"ABHD12;GN=;GN=_Lysophosphatidylserine lipase ABHD12;Isoform of Q8N2K0, Isoform 2 of Lysophosphatidylserine lipase ABHD12;Isoform of Q8N2K0, Isoform 3 of Lysophosphatidylserine lipase ABHD12",1.224,0.7663,0,0.2727,0.7606,0,0,0.5586,0.2895,0.4302,0.4285,0.0278,0.003,1.0913,0.8405,0.7378,0.4013,0.7932,1.1289,1.2614,0,0.4283,1.0192,0.7364,1.2876,0.6852,0.7435,1.3879,0.5169,0.5025,0.7327,0.7941,0.3575,0.0677,1.8184,1.3974,0.9495,0.8244,1.3364,0.9718,0.6494,0,0.7883,1.0658,0.9316,0.5778,1.0046,0.8879,1.3348,1.6449,0.7233,0.9935,0.9944,0.4163
ABHD13_Protein ABHD13,20.6152,8.0059,18.0178,10.8188,9.5141,13.3319,12.1715,12.975,14.3783,13.3143,3.9816,0.0008,0.0298,38.72,18.9414,20.2125,13.6718,21.3193,38.4823,20.7759,19.8449,17.8567,24.6802,21.4599,26.8899,25.7983,25.3046,32.4153,40.3099,20.0515,13.0648,24.4333,8.1689,0.2375,19.2619,40.1258,19.8569,28.5181,18.3664,17.6393,13.3052,3.7933,19.6687,31.9575,15.6429,19.102,32.0992,13.911,37.6012,18.0563,18.1475,10.4944,20.9749,9.4884
ABHD14B_Putative protein-lysine deacylase ABHD14B,83.0975,138.2324,79.3781,63.7499,95.4044,128.0245,95.0703,98.3799,76.2442,95.2868,24.1986,0.0295,0.4502,51.09,92.281,86.0043,50.4924,76.7313,51.1635,95.3807,75.4134,102.5892,76.1462,90.1627,92.2337,70.4353,73.8244,93.2932,64.5226,64.4238,84.762,77.275,16.1769,0.0027,114.8942,100.4669,114.107,60.9144,123.431,108.0389,154.6757,166.848,69.02,67.9631,71.5841,122.5122,107.645,79.59,99.3348,122.5543,87.6226,98.8227,103.8903,28.8884
ABHD16A_Phosphatidylserine lipase ABHD16A,5.6479,4.4433,3.0711,3.9983,4.0019,5.9634,4.9493,4.8162,2.7372,4.4032,1.0799,0.0723,0.0018,4.4662,8.0299,5.8482,5.1645,6.133,4.6964,16.284,3.4918,5.0699,7.1096,7.5132,10.4759,4.1342,4.9295,11.4012,3.9638,4.7375,4.1039,6.5307,3.285,0.1253,10.5268,5.9803,10.9626,5.9693,7.2231,13.0221,13.0203,3.1537,3.3172,7.3548,6.5511,5.044,8.3271,9.2952,6.9695,8.6862,13.174,7.6764,8.1252,3.0772
ABHD2_Monoacylglycerol lipase ABHD2,2.4546,1.9029,1.3887,1.639,0,2.3823,1.5095,2.1145,1.6835,1.675,0.7305,0.552,0.5263,0,2.1934,2.2899,2.8895,2.5655,1.7233,3.8173,0,0,3.3539,2.5126,4.1581,1.5769,0,2.7948,1.6196,2.068,1.6527,1.9564,1.2928,0.9303,3.7188,2.6578,3.3444,2.0593,0,2.7905,3.153,0,0,2.441,0,3.2306,3.0109,1.4553,2.4683,2.6548,2.8133,0,1.9888,1.3609
ABHD5_1-acylglycerol-3-phosphate O-acyltransferase ABHD5,2.6405,4.2757,4.9374,6.3384,7.0189,4.5279,8.4245,5.3915,4.2268,5.3091,1.725,0.4008,0.903,1.0756,7.3335,5.0678,2.7856,6.7744,2.6458,10.6503,4.2252,15.0731,3.7064,3.1393,15.0865,7.7018,3.2159,7.9827,6.9153,10.3573,3.9265,6.5368,4.0995,0.263,4.2267,4.7231,4.2434,1.6475,3.5312,6.7839,15.0738,5.168,5.0545,2.5245,1.6987,8.0312,6.6772,2.8917,1.7053,11.2029,10.3852,2.8857,5.4697,3.6913
"ABI1;GN=;GN=;GN=;GN=;GN=;GN=;GN=;GN=;GN=_Abl interactor 1;Isoform of Q8IZP0, Isoform 10 of Abl interactor 1;Isoform of Q8IZP0, Isoform 2 of Abl interactor 1;Isoform of Q8IZP0, Isoform 3 of Abl interactor 1;Isoform of Q8IZP0, Isoform 4 of Abl interactor 1;Isoform of Q8IZP0, Isoform 5 of Abl interactor 1;Isoform of Q8IZP0, Isoform 6 of Abl interactor 1;Isoform of Q8IZP0, Isoform 7 of Abl interactor 1;Isoform of Q8IZP0, Isoform 8 of Abl interactor 1;Isoform of Q8IZP0, Isoform 9 of Abl interactor 1",7.5455,6.2663,4.2766,4.6685,4.5769,4.5488,2.8599,3.7394,3.7377,4.6911,1.4143,0.4484,0.913,3.0056,3.427,3.6076,3.8817,4.0186,3.6397,7.0398,2.8025,1.0402,4.0752,4.3026,5.3467,3.9409,4.8095,7.2302,5.1181,5.4318,3.5108,4.2349,1.4673,0.2335,6.2459,5.0527,6.0647,3.9484,4.3254,6.2213,6.2968,0,3.7877,4.31,4.6411,4.6098,5.3333,2.585,5.4916,7.9128,4.7909,4.131,4.7638,1.6997
"ABI3;GN=_ABI gene family member 3;Isoform of Q9P2A4, Isoform 2 of ABI gene family member 3",1.7697,1.8227,1.0394,1.3899,1.807,1.3246,1.3126,1.3868,1.5346,1.4875,0.2678,0.2188,0.3225,0.8489,1.1744,1.3643,1.4169,0.9799,0.8262,1.373,0.4819,1.6214,1.2707,1.7479,1.891,1.3317,0.9574,2.0177,1.1647,1.7699,1.1361,1.2985,0.4053,0.8854,2.0286,1.427,1.7136,1.4744,1.3888,2.0271,1.6847,0,0.7689,0.8203,1.3008,1.8179,1.4099,0.8176,1.547,1.5322,1.2275,0,1.277,0.5916
ABI3BP_Target of Nesh-SH3,17.3975,21.9235,7.725,7.4281,12.3302,9.743,9.686,9.4386,6.968,11.4044,5.0749,0.0383,0.4933,7.4927,5.8886,9.8021,6.0579,10.3341,5.1768,10.3124,7.6146,9.7432,11.4064,6.1991,11.684,12.0584,5.2155,10.4966,6.3287,5.8958,7.4886,8.2886,2.4077,0.0313,14.8319,10.5323,8.8555,8.8089,16.9248,9.0298,11.049,10.925,5.9783,6.7932,6.3947,10.7765,15.7287,6.7121,11.6628,14.6295,8.8474,6.2238,10.2613,3.4253
